Size_KB,Method,Time(ms),Speedup,Throughput(Mcps),Matches
1,GPU_Global,0.15,0.07,7.63,2600
1,GPU_Shared_Compact,0.14,0.07,7.17,2600
1,Serial_CPU,0.01,1.00,100.39,2600
10,GPU_Global,0.12,0.67,85.64,25526
10,GPU_Shared_Compact,0.14,0.57,72.27,25526
10,Serial_CPU,0.08,1.00,127.36,25526
100,GPU_Global,0.23,3.54,454.99,254923
100,GPU_Shared_Compact,0.46,1.75,230.20,254923
100,Serial_CPU,0.80,1.00,128.45,254923
1024,GPU_Global,0.33,27.92,3160.53,2610414
1024,GPU_Shared_Compact,3.00,3.09,370.96,2610414
1024,Serial_CPU,9.26,1.00,113.21,2610414
10240,GPU_Global,1.44,57.68,7985.32,26103806
10240,GPU_Shared_Compact,3.63,22.87,2971.59,26103806
10240,Serial_CPU,82.94,1.00,126.42,26103806
51200,GPU_Global,6.95,60.66,7644.99,130518958
51200,GPU_Shared_Compact,8.89,47.40,5959.23,130518958
51200,Serial_CPU,421.41,1.00,124.41,130518958
102400,GPU_Global,18.98,43.17,6511.49,261037915
102400,GPU_Shared_Compact,10.36,79.04,10211.84,261037915
102400,Serial_CPU,819.17,1.00,128.01,261037915
512000,GPU_Global,62.64,65.46,9472.56,1305189558
512000,GPU_Shared_Compact,48.28,84.93,10862.81,1305189558
512000,Serial_CPU,4100.39,1.00,127.86,1305189558
1048576,GPU_Global,105.19,77.92,10485.39,2673028210
1048576,GPU_Shared_Compact,98.40,83.30,10915.31,2673028210
1048576,Serial_CPU,8196.46,1.00,131.00,2673028210
